methane,air_quality,temperature,humidity,risk
491,146,36,62,Safe
284,281,33,55,Warning
57,439,37,44,Warning
935,346,36,67,High Risk
642,600,39,40,High Risk
224,561,28,46,Warning
224,354,35,64,Warning
136,311,24,87,Warning
567,244,25,46,Warning
843,372,43,73,Critical
247,399,21,53,Warning
271,579,45,88,Critical
856,326,38,50,High Risk
507,343,28,42,Warning
183,56,30,55,Safe
210,357,32,71,Warning
330,75,22,58,Safe
716,403,41,42,High Risk
269,267,24,48,Warning
769,155,41,76,High Risk
591,139,25,43,Warning
560,110,44,74,Warning
538,514,39,78,High Risk
659,131,24,36,Warning
337,144,23,87,Warning
419,424,21,40,Warning
528,221,45,84,High Risk
971,403,36,89,Critical
461,90,44,62,Warning
546,563,22,36,High Risk
560,308,45,48,High Risk
522,333,34,58,Warning
163,401,31,41,Warning
327,382,34,70,Warning
976,397,20,43,High Risk
656,309,39,71,Warning
168,177,31,80,Safe
864,275,27,83,High Risk
131,222,43,66,Warning
916,549,36,46,Critical
331,295,44,90,High Risk
744,411,38,33,High Risk
227,127,38,95,Safe
494,405,41,58,High Risk
244,502,32,81,Warning
757,52,27,79,Warning
815,548,30,48,Critical
598,181,30,78,Warning
599,493,22,64,High Risk
783,234,38,93,High Risk
434,178,23,78,Safe
249,512,41,82,High Risk
629,383,42,47,High Risk
952,121,43,76,High Risk
620,118,26,79,Warning
260,201,30,79,Warning
52,184,45,50,Safe
74,353,38,78,Warning
600,165,25,89,Warning
951,584,35,94,Critical
132,95,23,42,Safe
915,119,33,64,Warning
470,391,34,85,Warning
455,492,32,66,Warning
622,135,29,35,Warning
536,82,37,37,Warning
793,469,42,68,Critical
838,295,24,88,High Risk
977,319,29,60,High Risk
975,182,40,70,Warning
423,305,35,58,Warning
570,443,33,85,High Risk
972,139,38,87,High Risk
350,563,22,54,High Risk
412,104,22,94,Warning
755,372,34,75,High Risk
146,536,44,30,High Risk
186,390,28,52,Warning
387,476,41,43,High Risk
823,504,24,80,Critical
887,197,33,52,Warning
327,379,39,82,Warning
52,425,26,41,Warning
726,418,40,58,High Risk
810,213,37,58,High Risk
107,595,31,33,Warning
535,567,43,62,Critical
806,194,36,36,Warning
629,500,36,46,High Risk
406,368,28,94,High Risk
729,304,23,32,Warning
463,65,32,90,Warning
734,532,39,73,High Risk
666,153,38,64,Warning
89,459,25,71,Warning
886,427,26,56,High Risk
910,543,41,85,Critical
763,467,28,88,Critical
365,262,23,84,Warning
608,535,45,42,Critical
116,523,40,42,Warning
847,71,33,62,Warning
305,300,33,59,Warning
350,97,34,44,Safe
415,411,38,87,High Risk
420,82,41,32,Warning
145,598,43,50,High Risk
676,280,45,45,High Risk
337,398,25,58,Warning
272,438,33,57,Warning
508,512,31,77,High Risk
495,394,26,53,Warning
808,200,41,64,High Risk
446,559,45,77,High Risk
70,110,28,55,Safe
218,380,22,43,Warning
596,153,45,92,High Risk
636,80,33,87,Warning
341,119,43,51,Warning
472,218,36,77,Warning
483,578,25,75,High Risk
208,500,26,49,Warning
533,208,44,68,High Risk
542,80,44,91,High Risk
227,477,35,79,Warning
239,125,41,46,Safe
1000,351,41,60,Critical
770,175,25,92,High Risk
839,382,26,73,High Risk
354,58,20,63,Safe
760,368,22,69,High Risk
801,232,26,81,High Risk
715,347,27,33,Warning
177,369,35,84,Warning
852,93,28,75,Warning
370,434,44,81,High Risk
448,76,33,62,Safe
803,371,21,39,High Risk
477,311,33,33,Warning
274,181,22,73,Safe
166,54,44,85,Safe
56,275,31,85,Safe
267,558,26,62,High Risk
848,212,44,58,High Risk
393,101,35,73,Safe
941,388,23,31,High Risk
469,524,44,78,High Risk
669,353,23,87,High Risk
180,257,27,62,Safe
193,204,21,57,Safe
936,590,45,62,Critical
913,275,38,92,High Risk
367,405,25,31,Warning
981,83,26,54,Warning
201,231,44,83,Warning
266,314,45,86,High Risk
748,52,21,53,Warning
550,394,29,74,High Risk
60,91,34,85,Safe
868,530,33,82,Critical
865,397,22,56,High Risk
222,405,26,44,Warning
137,535,41,83,High Risk
665,265,43,32,High Risk
372,360,37,84,Warning
430,78,41,70,Warning
410,548,25,57,High Risk
872,252,27,81,High Risk
661,488,45,81,High Risk
502,76,43,70,Warning
732,240,34,31,Warning
663,200,27,51,Warning
546,353,29,31,High Risk
379,399,37,54,Warning
130,507,30,75,Warning
921,502,44,36,Critical
368,189,31,68,Safe
54,512,24,48,Warning
496,258,25,31,Warning
127,441,44,73,Warning
468,354,43,62,High Risk
816,524,26,52,Critical
137,262,43,92,Warning
970,87,20,52,Warning
641,363,39,43,High Risk
624,363,28,92,High Risk
856,590,38,74,Critical
312,121,45,68,Warning
906,193,35,59,Warning
459,333,29,62,Warning
251,64,43,34,Warning
970,553,31,49,Critical
254,272,38,94,Warning
394,459,36,69,Warning
576,317,25,46,Warning
237,352,22,46,Warning
759,238,41,33,High Risk
54,430,39,31,Warning
866,131,45,48,High Risk
416,320,21,72,Warning
738,350,37,94,High Risk
230,520,28,42,Warning
382,340,44,36,Warning
904,87,44,52,High Risk
838,105,43,38,High Risk
108,504,23,46,Warning
692,342,22,87,High Risk
610,208,40,41,Warning
301,505,28,85,High Risk
799,200,35,48,Warning
253,105,20,72,Safe
726,340,34,84,Warning
276,84,21,55,Safe
86,558,44,43,High Risk
570,562,36,39,High Risk
51,484,32,44,Warning
429,279,29,63,Warning
932,170,30,46,Warning
797,519,26,68,Critical
339,544,44,62,High Risk
498,436,38,52,Warning
470,83,31,54,Safe
883,433,37,33,High Risk
812,497,28,68,High Risk
1000,346,43,45,High Risk
165,321,38,82,Safe
476,211,45,52,Warning
129,292,29,52,Safe
297,361,42,71,High Risk
496,525,40,88,High Risk
890,237,38,64,High Risk
110,215,40,47,Safe
360,116,30,32,Safe
514,133,26,56,Warning
885,54,29,79,Warning
182,302,22,71,Safe
664,106,20,34,Warning
997,597,30,92,Critical
689,243,37,87,High Risk
311,338,37,87,Warning
348,369,26,79,Warning
524,303,30,51,Warning
144,259,24,68,Safe
103,596,22,90,High Risk
838,64,41,53,High Risk
288,358,45,62,High Risk
236,552,25,69,Warning
400,127,29,86,Warning
957,296,23,93,High Risk
696,116,27,92,Warning
311,271,36,84,Warning
895,220,33,37,High Risk
929,376,40,56,High Risk
220,460,20,87,Warning
677,435,34,64,High Risk
187,96,41,83,Safe
122,221,28,53,Safe
211,308,26,48,Safe
911,209,39,74,High Risk
619,73,32,90,Warning
124,370,29,59,Warning
195,361,27,91,Warning
972,454,42,79,Critical
319,569,27,32,High Risk
777,376,25,95,Critical
401,70,22,83,Safe
248,436,41,39,Warning
926,193,23,78,Warning
259,130,45,54,Warning
742,515,25,64,High Risk
97,300,31,72,Safe
233,313,21,67,Safe
906,385,26,70,High Risk
681,344,45,89,High Risk
1000,177,36,58,Warning
164,168,39,57,Safe
651,369,37,84,High Risk
259,56,32,89,Warning
167,415,27,38,Warning
246,446,34,79,Warning
181,188,29,79,Safe
457,361,44,40,High Risk
639,296,41,70,High Risk
218,106,25,91,Safe
723,382,38,81,High Risk
987,104,33,57,Warning
103,563,33,64,Warning
441,557,37,30,High Risk
832,345,26,64,High Risk
198,479,34,80,Warning
672,240,22,83,Warning
428,498,23,77,Warning
679,476,22,92,High Risk
684,550,43,70,Critical
617,53,35,45,Warning
110,221,35,40,Safe
768,244,25,31,High Risk
932,139,44,31,High Risk
441,416,33,34,Warning
116,382,20,77,Warning
104,510,20,94,High Risk
944,170,23,73,Warning
810,221,36,49,High Risk
895,177,31,95,High Risk
842,173,42,85,High Risk
372,265,28,50,Warning
613,365,34,72,High Risk
244,322,28,72,Safe
855,60,45,95,High Risk
226,557,37,69,Warning
147,350,33,38,Safe
514,400,32,87,High Risk
652,521,42,95,Critical
179,316,44,38,Warning
623,364,31,74,High Risk
125,153,43,50,Safe
339,354,35,95,High Risk
858,500,20,65,High Risk
996,448,37,72,High Risk
575,380,44,83,High Risk
550,69,28,93,Warning
510,146,42,90,High Risk
94,322,41,30,Warning
547,548,37,45,High Risk
571,236,45,49,High Risk
811,459,26,80,High Risk
703,407,41,56,High Risk
52,318,28,60,Safe
681,182,27,58,Warning
272,185,32,48,Safe
903,174,26,46,Warning
611,484,41,93,Critical
765,380,32,70,High Risk
447,97,27,77,Safe
983,61,28,58,Warning
247,419,26,44,Warning
219,587,26,54,Warning
369,271,39,68,Warning
69,545,45,60,High Risk
412,383,25,74,Warning
75,110,40,36,Safe
668,511,21,90,Critical
598,537,21,90,Critical
917,106,39,45,Warning
491,397,21,94,High Risk
492,75,41,35,Warning
652,562,29,35,High Risk
610,177,32,53,Warning
691,248,31,61,Warning
883,554,34,73,Critical
739,146,30,69,Warning
417,72,32,94,Warning
895,127,24,65,Warning
381,491,21,81,Warning
494,121,31,71,Safe
304,292,20,92,Warning
570,75,43,80,Warning
569,211,40,78,Warning
204,145,37,75,Safe
960,493,26,73,High Risk
867,244,39,67,High Risk
423,334,28,92,Warning
753,299,42,39,High Risk
245,174,23,52,Safe
351,400,29,67,Warning
605,248,28,92,High Risk
386,351,31,77,Warning
634,355,31,88,High Risk
806,394,30,91,Critical
739,223,40,91,High Risk
257,279,35,85,Warning
110,313,20,94,Warning
507,442,29,68,High Risk
552,541,38,94,Critical
422,59,37,60,Safe
158,253,32,64,Safe
561,547,43,62,Critical
364,343,23,32,Warning
875,372,45,43,Critical
598,416,23,61,High Risk
133,239,20,54,Safe
810,269,40,37,High Risk
697,562,22,35,High Risk
520,64,35,38,Warning
592,95,34,72,Warning
586,175,42,34,Warning
316,114,21,57,Safe
651,184,37,50,Warning
477,270,33,61,Warning
601,173,25,63,Warning
362,360,42,70,High Risk
155,162,44,82,Safe
524,277,29,37,Warning
53,584,22,42,Warning
232,484,30,57,Warning
342,486,42,34,High Risk
355,207,25,95,Warning
345,436,28,77,Warning
141,431,20,53,Warning
561,216,36,66,Warning
922,256,21,58,High Risk
271,348,39,71,Warning
628,597,45,72,Critical
437,324,35,64,Warning
345,569,40,34,High Risk
585,306,39,47,Warning
727,225,41,47,High Risk
540,365,33,91,High Risk
328,174,45,48,Warning
676,559,29,85,High Risk
357,383,33,42,Warning
901,110,28,36,Warning
547,505,21,58,High Risk
838,393,35,51,High Risk
66,62,29,59,Safe
926,260,34,30,High Risk
200,593,38,54,Warning
573,441,30,37,High Risk
503,75,31,51,Warning
776,255,39,36,High Risk
728,288,43,57,High Risk
900,507,41,47,Critical
424,579,28,82,High Risk
865,540,45,40,Critical
249,348,21,47,Safe
932,382,38,65,High Risk
390,192,38,95,Warning
446,565,26,35,High Risk
189,530,41,92,High Risk
861,239,43,33,High Risk
119,438,26,46,Warning
476,295,35,33,Warning
678,389,35,75,High Risk
365,349,23,30,Warning
538,76,23,60,Warning
704,334,43,79,High Risk
829,372,21,89,Critical
354,246,40,76,Warning
531,237,23,38,Warning
439,505,28,73,High Risk
950,572,44,47,Critical
216,111,21,87,Safe
844,374,31,72,High Risk
657,213,25,86,High Risk
846,376,31,69,High Risk
877,93,41,77,High Risk
547,252,45,44,High Risk
932,573,34,80,Critical
226,450,36,87,Warning
78,390,26,58,Warning
732,528,41,47,Critical
420,462,45,51,High Risk
350,196,35,71,Safe
136,597,23,54,Warning
880,133,38,77,Warning
577,148,29,71,Warning
395,595,20,75,High Risk
379,346,41,77,Warning
271,351,24,74,Warning
1000,222,20,91,High Risk
991,76,43,91,High Risk
339,82,38,53,Safe
251,125,23,56,Safe
659,198,27,55,Warning
113,294,33,56,Safe
820,135,39,85,Warning
199,104,42,63,Safe
808,566,38,84,Critical
319,130,44,80,Warning
83,423,43,58,Warning
127,552,43,44,High Risk
427,361,31,88,High Risk
218,128,27,80,Safe
500,286,42,89,High Risk
130,107,39,38,Safe
859,536,22,66,Critical
922,443,28,34,High Risk
531,154,20,68,Warning
483,150,20,39,Safe
698,535,34,63,High Risk
427,63,38,82,Safe
622,519,33,89,Critical
704,101,37,30,Warning
957,108,40,65,Warning
281,287,20,40,Warning
738,83,31,80,Warning
249,186,43,36,Safe
359,321,25,69,Warning
110,163,37,86,Safe
793,524,30,56,Critical
113,88,32,95,Safe
873,583,40,71,Critical
397,583,43,37,High Risk
666,61,31,32,Warning
890,459,41,85,Critical
465,315,34,92,Warning
104,90,38,91,Safe
399,280,36,47,Warning
293,507,24,69,High Risk
861,531,25,87,Critical
730,243,38,76,Warning
742,480,40,95,High Risk
694,513,20,39,High Risk
878,359,31,48,High Risk
544,535,20,86,Critical
441,491,40,57,Warning
265,185,26,30,Safe
174,460,40,70,Warning
584,234,43,36,High Risk
404,529,31,32,High Risk
868,577,23,53,Critical
898,461,28,31,High Risk
929,461,20,41,High Risk
682,125,43,68,Warning
530,169,45,42,Warning
187,138,35,86,Safe
481,539,20,57,High Risk
163,92,42,82,Safe
716,127,36,82,Warning
856,377,43,79,Critical
261,584,20,88,High Risk
647,116,36,51,Warning
80,391,39,85,Warning
485,307,43,52,Warning
860,456,32,82,High Risk
685,296,28,77,Warning
111,318,45,91,Warning
969,572,44,30,Critical
408,370,28,91,High Risk
858,156,44,52,High Risk
377,177,31,33,Safe
404,263,44,95,High Risk
510,118,44,70,Warning
353,75,41,30,Warning
525,525,21,45,High Risk
327,440,43,49,High Risk
330,378,30,58,Warning
591,173,26,83,Warning
218,508,29,62,Warning
364,426,44,91,High Risk
184,55,28,70,Safe
310,485,34,82,Warning
438,92,24,86,Warning
959,450,28,51,High Risk
434,571,43,92,Critical
337,240,32,60,Warning
689,430,37,93,High Risk
740,568,34,36,High Risk
199,294,36,76,Safe
795,584,38,88,Critical
836,477,32,87,Critical
249,457,40,81,Warning
429,504,42,82,High Risk
699,356,34,35,High Risk
436,517,40,69,High Risk
985,459,21,52,High Risk
499,334,37,83,Warning
59,82,27,77,Safe
883,64,39,81,Warning
544,360,33,48,High Risk
238,118,23,56,Safe
126,464,26,53,Warning
866,296,27,82,High Risk
614,54,44,32,Warning
700,467,40,49,High Risk
744,207,28,95,High Risk
658,221,37,60,Warning
560,533,37,51,High Risk
566,423,37,65,High Risk
85,177,22,43,Safe
785,273,21,79,High Risk
695,574,28,30,High Risk
349,133,29,72,Safe
647,455,45,35,High Risk
626,54,35,90,Warning
447,185,23,62,Safe
899,563,25,32,Critical
289,459,43,78,High Risk
125,72,28,67,Safe
326,136,20,79,Safe
990,108,22,46,Warning
981,421,23,52,High Risk
801,416,38,65,High Risk
548,256,25,35,Warning
282,58,44,34,Warning
778,269,39,79,High Risk
204,520,42,62,High Risk
940,236,36,87,High Risk
656,320,38,41,Warning
776,431,37,80,High Risk
730,158,38,34,Warning
686,315,42,38,High Risk
879,247,24,79,High Risk
741,576,28,49,High Risk
986,166,23,83,Warning
230,285,39,66,Safe
236,71,37,45,Safe
588,464,32,50,High Risk
112,313,34,33,Safe
334,360,32,35,Warning
948,353,20,80,High Risk
898,224,22,82,High Risk
445,476,21,62,Warning
891,403,39,68,High Risk
975,372,43,84,Critical
200,84,32,83,Safe
143,321,32,66,Safe
185,372,29,75,Warning
352,139,39,50,Safe
888,190,44,51,High Risk
83,122,21,67,Safe
306,348,35,82,Warning
599,62,38,47,Warning
689,146,25,44,Warning
958,104,31,89,High Risk
199,508,27,63,Warning
448,114,30,50,Safe
100,515,40,53,Warning
286,264,44,73,Warning
644,73,36,72,Warning
725,52,27,71,Warning
683,238,31,54,Warning
324,509,44,81,High Risk
329,589,38,66,High Risk
782,338,40,67,High Risk
71,546,30,78,Warning
832,302,26,39,High Risk
894,568,29,70,Critical
996,560,24,93,Critical
243,513,30,50,Warning
865,448,27,53,High Risk
994,321,23,40,High Risk
891,492,25,94,Critical
822,298,42,50,High Risk
993,229,26,82,High Risk
951,319,20,58,High Risk
766,309,39,39,High Risk
261,170,36,48,Safe
114,74,25,44,Safe
664,380,22,92,High Risk
718,78,31,94,Warning
762,407,37,68,High Risk
410,267,29,49,Warning
352,365,43,53,High Risk
357,538,33,42,High Risk
249,273,36,61,Safe
202,160,36,93,Safe
786,114,38,91,High Risk
400,200,40,49,Safe
662,52,21,62,Warning
520,141,25,52,Warning
474,246,29,86,Warning
791,139,27,93,High Risk
918,70,25,37,Warning
330,61,35,62,Safe
980,170,33,75,Warning
554,430,32,31,High Risk
985,529,32,55,Critical
347,170,31,94,Warning
440,540,31,34,High Risk
269,67,44,32,Warning
124,475,38,43,Warning
273,98,42,93,Warning
677,186,20,57,Warning
224,120,28,39,Safe
675,528,24,94,Critical
114,173,40,30,Safe
695,383,34,72,High Risk
718,143,41,39,Warning
818,56,23,73,Warning
701,352,29,41,High Risk
183,61,35,41,Safe
727,530,30,64,High Risk
371,206,41,95,High Risk
429,284,34,82,Warning
223,409,30,42,Warning
857,500,41,64,Critical
416,480,29,48,Warning
246,234,44,70,Warning
72,413,44,77,Warning
289,492,31,75,Warning
402,324,33,51,Warning
386,246,44,74,Warning
872,266,36,58,High Risk
488,371,32,37,Warning
634,389,20,54,High Risk
155,439,26,48,Warning
326,232,31,73,Warning
441,425,40,42,Warning
370,178,34,57,Safe
547,540,37,41,High Risk
316,375,39,82,Warning
256,203,20,88,Warning
560,225,45,68,High Risk
599,439,34,42,High Risk
832,447,34,95,Critical
274,437,25,63,Warning
820,496,33,33,High Risk
560,429,26,45,High Risk
459,376,36,52,Warning
963,273,29,53,High Risk
793,513,43,54,Critical
146,420,44,80,Warning
478,52,40,84,Safe
987,585,23,50,Critical
96,195,22,35,Safe
685,490,24,54,High Risk
699,372,27,73,High Risk
52,145,36,85,Safe
701,374,23,47,High Risk
844,66,28,63,Warning
721,205,42,67,High Risk
354,523,23,31,High Risk
816,463,23,74,High Risk
373,583,25,36,High Risk
818,401,36,92,Critical
581,278,28,82,Warning
627,74,35,40,Warning
752,149,31,47,Warning
485,520,26,60,High Risk
230,124,36,90,Safe
175,273,25,78,Safe
390,253,27,54,Warning
531,349,29,89,High Risk
234,313,35,59,Safe
362,584,23,55,High Risk
348,351,34,88,High Risk
301,371,20,60,Warning
782,480,34,52,High Risk
992,150,23,56,Warning
498,525,37,72,High Risk
98,501,30,36,Warning
509,304,39,30,Warning
574,391,36,45,High Risk
266,487,43,70,High Risk
225,99,35,50,Safe
903,192,30,66,Warning
773,433,22,64,High Risk
238,526,30,81,Warning
214,448,30,33,Warning
554,419,31,39,High Risk
343,305,23,83,Warning
123,181,42,70,Safe
75,227,37,56,Safe
192,309,29,90,Warning
359,423,22,77,Warning
290,164,20,86,Warning
833,325,42,49,High Risk
850,394,22,47,High Risk
584,526,34,52,High Risk
476,68,41,84,Warning
887,222,25,58,High Risk
56,560,40,55,Warning
689,271,31,76,Warning
393,231,28,55,Warning
955,423,27,68,High Risk
371,367,25,85,Warning
986,447,32,48,High Risk
767,545,45,39,Critical
420,141,29,47,Safe
918,196,28,69,Warning
230,522,29,32,Warning
944,204,21,52,High Risk
851,575,26,83,Critical
337,190,29,36,Safe
926,154,33,63,Warning
468,581,34,55,High Risk
902,507,42,44,Critical
209,525,37,59,Warning
847,101,21,32,Warning
587,547,45,74,Critical
738,470,39,51,High Risk
557,223,34,64,Warning
162,121,44,86,Warning
468,153,23,92,Warning
280,387,44,82,High Risk
62,491,29,50,Warning
786,390,35,48,High Risk
830,447,40,92,Critical
711,404,31,71,High Risk
386,535,23,67,High Risk
67,390,23,58,Warning
594,262,25,95,High Risk
270,359,20,37,Warning
784,428,28,89,Critical
351,169,32,83,Safe
347,480,26,63,Warning
407,77,39,68,Safe
695,163,21,69,Warning
418,523,29,62,High Risk
848,67,23,64,Warning
130,410,31,72,Warning
658,85,25,84,Warning
647,586,21,93,Critical
169,156,44,79,Safe
129,456,33,48,Warning
717,346,38,46,Warning
610,85,26,76,Warning
504,325,36,61,Warning
761,242,25,52,High Risk
176,529,20,87,High Risk
799,254,27,76,High Risk
955,352,28,66,High Risk
629,411,24,82,High Risk
968,213,28,70,High Risk
408,183,20,83,Safe
699,429,33,69,High Risk
870,151,41,84,High Risk
170,371,25,46,Warning
880,97,44,61,High Risk
631,429,32,67,High Risk
66,372,45,69,Warning
690,177,43,79,Warning
446,361,39,55,Warning
79,341,34,93,Warning
648,154,21,48,Warning
857,127,40,67,Warning
691,207,25,42,Warning
86,369,25,73,Warning
705,137,43,87,High Risk
584,160,34,60,Warning
780,321,45,90,Critical
746,566,20,66,High Risk
585,305,43,35,High Risk
958,127,23,57,Warning
445,64,33,74,Safe
877,530,29,91,Critical
581,282,45,46,High Risk
128,391,30,73,Warning
99,118,45,75,Safe
783,271,38,49,High Risk
218,383,33,32,Warning
805,418,23,59,High Risk
745,115,32,82,Warning
658,278,25,47,Warning
545,511,23,92,Critical
97,460,29,54,Warning
698,58,43,70,Warning
763,336,29,67,High Risk
684,122,27,58,Warning
876,173,27,60,Warning
84,143,40,55,Safe
911,489,44,71,Critical
442,585,24,92,High Risk
883,354,28,90,Critical
285,523,45,41,High Risk
309,154,44,64,Warning
634,218,25,65,Warning
520,513,26,48,High Risk
361,436,30,82,Warning
819,51,44,81,High Risk
813,577,30,56,Critical
500,217,26,31,Warning
160,256,34,79,Safe
622,535,43,90,Critical
779,580,43,43,Critical
918,575,30,84,Critical
468,253,45,64,Warning
639,323,23,81,Warning
211,290,31,46,Safe
415,301,33,64,Warning
811,242,31,48,High Risk
832,381,35,46,High Risk
573,238,39,69,Warning
678,584,44,71,Critical
926,595,43,88,Critical
801,422,24,37,High Risk
927,511,44,52,Critical
166,494,25,87,Warning
387,528,28,30,High Risk
545,296,37,47,Warning
645,253,42,79,High Risk
372,147,27,54,Safe
447,272,25,35,Warning
965,351,44,42,Critical
476,226,28,50,Warning
380,507,29,48,High Risk
942,496,29,89,Critical
318,200,24,58,Safe
494,239,25,93,Warning
651,473,30,82,High Risk
769,536,28,78,Critical
213,458,37,35,Warning
413,382,32,68,Warning
331,556,33,41,High Risk
122,283,32,45,Safe
901,494,26,79,High Risk
904,108,45,57,High Risk
71,269,29,47,Safe
652,267,35,75,Warning
166,316,31,55,Safe
198,361,39,76,Warning
53,186,29,33,Safe
482,149,27,48,Safe
378,364,22,88,High Risk
505,284,29,93,High Risk
701,515,44,61,Critical
51,200,40,43,Safe
196,450,43,72,Warning
283,290,22,34,Warning
928,450,44,54,Critical
353,549,27,69,High Risk
733,333,33,77,Warning
533,132,42,80,Warning
851,431,27,63,High Risk
321,56,28,58,Safe
215,121,22,68,Safe
347,460,28,68,Warning
334,514,45,55,High Risk
179,553,33,94,High Risk
124,280,36,81,Safe
160,530,32,37,Warning
340,77,41,32,Warning
371,205,32,60,Warning
990,308,42,95,Critical
895,211,24,61,High Risk
796,446,26,52,High Risk
918,468,34,38,High Risk
578,55,39,79,Warning
212,289,44,52,Warning
739,536,28,48,High Risk
182,142,42,86,Warning
389,75,32,63,Safe
864,133,34,77,Warning
695,485,29,84,High Risk
282,556,26,31,High Risk
344,213,37,91,Warning
217,541,24,42,Warning
967,271,40,60,High Risk
343,155,42,55,Warning
924,94,36,70,Warning
774,357,40,31,High Risk
570,412,24,54,High Risk
584,555,36,69,High Risk
599,220,30,31,Warning
452,138,40,31,Safe
105,467,28,49,Warning
284,239,33,63,Warning
242,540,37,34,Warning
631,158,35,87,Warning
182,143,32,54,Safe
435,80,43,36,Warning
538,218,40,71,Warning
776,123,31,51,Warning
476,71,29,56,Safe
532,562,38,33,High Risk
314,140,33,34,Safe
623,216,22,77,Warning
725,236,40,46,Warning
956,559,30,73,Critical
993,51,42,41,High Risk
726,279,42,44,High Risk
575,179,21,50,Warning
911,482,37,59,High Risk
467,61,34,93,Warning
938,371,40,64,High Risk
523,270,29,72,Warning
692,306,24,56,Warning
478,121,34,59,Safe
236,174,26,57,Safe
63,103,34,66,Safe
403,205,45,88,High Risk
730,247,32,57,Warning
157,600,39,31,Warning
91,222,45,63,Warning
576,293,31,30,Warning
812,90,40,87,High Risk
797,345,27,93,High Risk
684,261,39,54,Warning
721,497,38,50,High Risk
514,311,33,80,Warning
413,540,24,60,High Risk
774,351,35,56,High Risk
709,300,33,77,Warning
603,558,34,49,High Risk
121,500,34,47,Warning
259,297,32,64,Warning
894,262,29,82,High Risk
925,493,37,40,High Risk
312,453,44,90,High Risk
997,216,30,84,High Risk
85,407,22,51,Warning
635,275,42,51,High Risk
206,489,24,69,Warning
391,370,42,48,High Risk
521,92,26,55,Warning
152,529,24,84,Warning
410,136,42,31,Warning
